Pair	Word	Example	Swap	Synonyme	Swap + Synonyme
a lot-allot	a lot	There were a lot of stars visible in the night sky.	There were allot of stars visible in the night sky.	There were a multitude of stars visible in the night sky.	There were allocate of stars visible in the night sky.
a lot-allot	allot	We need to allot more time for discussion in the next meeting.	We need to a lot more time for discussion in the next meeting.	We need to allocate more time for discussion in the next meeting	We need to multitude more time for discussion in the next meeting
accede-exceed	accede	The board will accede to the terms of the agreement.	The board will exceed to the terms of the agreement.	The board will agree to the terms of the agreement.	The board will surpass to the terms of the agreement.
accede-exceed	exceed	His performance exceed everyone's expectations.	His performance accede everyone's expectations.	His performance surpass everyone's expectations.	His performance agree everyone's expectations.
accept-except	accept	Please accept this gift as a sign of my gratitude.	Please except this gift as a sign of my gratitude.	Please receive this gift as a sign of my gratitude.	Please bar this gift as a sign of my gratitude.
accept-except	except	Everyone went to the party except for me.	Everyone went to the party accept for me.	Everyone went to the party bar for me.	Everyone went to the party receive for me.
adapt-adept	adapt	We need to adapt our strategy to the changing circumstances.	We need to adept our strategy to the changing circumstances.	We need to adjust our strategy to the changing circumstances.	We need to skill our strategy to the changing circumstances.
adapt-adept	adept	She is adept at solving complex mathematical problems.	She is adapt at solving complex mathematical problems.	She is skilled at solving complex mathematical problems.	She is adjusted at solving complex mathematical problems.
adapt-adopt	adapt	We need to adapt our strategy to the changing circumstances.	We need to adopt our strategy to the changing circumstances.	We need to adjust our strategy to the changing circumstances.	We need to take in our strategy to the changing circumstances.
adapt-adopt	adopt	My family decided to adopt a puppy from the shelter.	My family decided to adapt a puppy from the shelter.	My family decided to take in a puppy from the shelter.	My family decided to adjust a puppy from the shelter.
adept-adopt	adept	She is adept at solving complex mathematical problems.	She is adopt at solving complex mathematical problems.	She is skilled at solving complex mathematical problems.	She is took in at solving complex mathematical problems.
adept-adopt	adopt	My family decided to adopt a puppy from the shelter.	My family decided to adept a puppy from the shelter.	My family decided to take in a puppy from the shelter.	My family decided to skill a puppy from the shelter.
adverse-averse	adverse	They continued their journey despite the adverse weather conditions.	They continued their journey despite the averse weather conditions.	They continued their journey despite the unfavorable weather conditions.	They continued their journey despite the disinclined weather conditions.
adverse-averse	averse	She is averse to the idea of skydiving.	She is adverse to the idea of skydiving.	She is disinclined to the idea of skydiving.	She is unfavorable to the idea of skydiving.
advice-advise	advice	He gave me some invaluable advice on my career.	He gave me some invaluable advise on my career.	He gave me some invaluable counsel on my career.	He gave me some invaluable recommend on my career.
advice-advise	advise	I would advise caution when dealing with this matter.	I would advice caution when dealing with this matter.	I would recommend caution when dealing with this matter.	I would counsel caution when dealing with this matter.
affect-effect	affect	The news did not seem to affect her much.	The news did not seem to effect her much.	The news did not seem to influence her much.	
affect-effect	effect	The new law will take effect starting next month.	The new law will take affect starting next month.		
aid-aide	aid	He offered aid to the victims of the disaster.	He offered aide to the victims of the disaster.	He offered assistance to the victims of the disaster.	He offered assistant to the victims of the disaster.
aid-aide	aide	The senator's aide answered the phone.	The senator's aid answered the phone.	The senator's assistant answered the phone.	The senator's assistance answered the phone.
airs-heirs	airs	She puts on airs whenever we have guests over.	She puts on heirs whenever we have guests over.	She puts on pretenses whenever we have guests over.	She puts on successors whenever we have guests over.
airs-heirs	heirs	The deceased left her estate to her heirs.	The deceased left her estate to her airs.	The deceased left her estate to her successors.	The deceased left her estate to her pretenses.
all together-altogether	all together	The children sat all together for story time.	The children sat altogether for story time.		
all together-altogether	altogether	It was an altogether different experience from what I was used to.	It was an all together different experience from what I was used to.	It was a completely different experience from what I was used to.	
