word	isalpha	isascii	len_tokens	isPROPN
Boulter	True	True	3	True
,	False	True	1	False
.	False	True	1	False
@-@	False	True	3	False
2000	False	True	1	False
Herons	True	True	2	False
2001	False	True	1	False
2002	False	True	1	False
2004	False	True	1	False
""""	False	True	1	False
's	False	True	2	False
;	False	True	1	False
Jacobi	True	True	2	True
2005	False	True	1	False
Menier	True	True	2	False
Whishaw	True	True	3	True
Zaza	True	True	2	False
Ayres	True	True	3	False
2006	False	True	1	False
Ravenhill	True	True	2	False
2007	False	True	1	False
2008	False	True	1	False
Leonti	True	True	2	False
Olly	True	True	2	False
2010	False	True	1	False
Kieron	True	True	2	True
2011	False	True	1	False
Addem	True	True	2	True
Armitage	True	True	3	False
Expediency	True	True	4	False
2003	False	True	1	False
:	False	True	1	False
shatteringly	True	True	2	False
(	False	True	1	False
unrecognisable	True	True	5	False
Nunn	True	True	2	True
)	False	True	1	False
savagery	True	True	2	False
playwrights	True	True	2	False
/	False	True	1	False
Chatroom	True	True	2	False
...	False	True	3	False
Tammi	True	True	2	True
Dearden	True	True	2	False
're	False	True	2	False
'	False	True	1	False
–	False	False	1	False
杜甫	True	False	2	False
712	False	True	2	False
770	False	True	1	False
Lushan	True	True	2	True
755	False	True	2	False
15	False	True	1	False
Ovid	True	True	2	True
Wordsworth	True	True	2	False
Béranger	True	False	3	False
Baudelaire	True	True	4	False
posits	True	True	3	False
concise	True	True	2	False
omitting	True	True	3	False
misunderstand	True	True	3	False
reductive	True	True	3	False
categorizations	True	True	4	False
Shenyan	True	True	2	True
Luoyang	True	True	3	True
memorisation	True	True	3	False
Confucian	True	True	3	False
creditable	True	True	2	False
730s	False	True	2	False
735	False	True	2	False
Chou	True	True	2	True
cultivate	True	True	2	False
Hebei	True	True	2	True
740	False	True	1	False
744	False	True	2	False
formative	True	True	2	False
reclusive	True	True	3	False
745	False	True	2	False
746	False	True	2	False
resurrect	True	True	4	False
petitioning	True	True	2	False
751	False	True	2	False
754	False	True	2	False
752	False	True	2	False
757	False	True	2	False
—	False	False	1	False
ailments	True	True	3	False
dogged	True	True	2	False
52	False	True	1	False
@.@	False	True	3	False
9	False	True	1	False
16	False	True	1	False
itinerant	True	True	3	False
unsettled	True	True	3	False
famines	True	True	2	False
unhappiness	True	True	4	False
misfortunes	True	True	3	False
756	False	True	2	False
Xuanzong	True	True	3	True
abdicate	True	True	2	False
Suzong	True	True	2	True
Zongwu	True	True	3	False
conscientiousness	True	True	5	False
Guan	True	True	2	False
pardoned	True	True	2	False
8	False	True	1	False
unappreciated	True	True	5	False
758	False	True	2	False
Huazhou	True	True	2	True
759	False	True	2	False
Qinzhou	True	True	2	True
Tianshui	True	True	3	True
Gansu	True	True	2	True
Tonggu	True	True	2	True
24	False	True	1	False
Chengdu	True	True	2	True
happiest	True	True	3	False
thatched	True	True	2	False
762	False	True	2	False
764	False	True	2	False
765	False	True	2	False
Yangtze	True	True	2	False
eyesight	True	True	2	False
deafness	True	True	2	False
Kuizhou	True	True	4	False
Baidicheng	True	True	4	True
Chongqing	True	True	2	True
Gorges	True	True	2	False
766	False	True	2	False
400	False	True	1	False
Maolin	True	True	2	True
