token	token_ids	count	POS
a	1037	4030	['DET']
aa	9779	16	['PROPN', 'NOUN']
abandon	10824	1	['VERB']
abandoned	4704	26	['VERB']
abandoning	19816	1	['VERB']
abandonment	22290	1	['NOUN']
abbot	11428	6	['NOUN']
abbreviation	22498	1	['NOUN']
abdomen	13878	1	['NOUN']
abducted	20361	1	['VERB']
abilities	7590	2	['NOUN']
ability	3754	14	['NOUN']
able	2583	43	['ADJ']
aboard	7548	6	['ADP']
abolished	8961	2	['VERB']
abolition	15766	2	['NOUN']
aboriginal	9757	2	['ADJ']
about	2055	192	['ADP']
above	2682	46	['ADP']
abroad	6917	2	['ADV']
abruptly	9225	1	['ADV']
absence	6438	9	['NOUN']
absent	9962	5	['ADJ']
absolute	7619	1	['ADJ']
absolutely	7078	1	['ADV']
absorbed	9063	3	['VERB']
absorption	16326	1	['NOUN']
abstract	10061	1	['ADJ']
abstraction	24504	1	['NOUN']
abuse	6905	1	['NOUN']
abuses	21078	2	['NOUN']
abusive	20676	1	['ADJ']
abyss	22159	1	['NOUN']
academic	3834	7	['ADJ']
academics	15032	2	['NOUN']
accelerate	23306	4	['VERB']
accelerated	14613	2	['VERB']
accelerating	29494	1	['VERB']
accept	5138	7	['VERB']
acceptable	11701	3	['ADJ']
acceptance	9920	2	['NOUN']
accepted	3970	22	['VERB']
accepting	10564	3	['VERB']
access	3229	10	['NOUN']
accessed	11570	1	['VERB']
accessibility	23661	1	['NOUN']
accessible	7801	3	['ADJ']
accession	16993	7	['NOUN']
accident	4926	9	['NOUN']
accidental	17128	1	['ADJ']
accidentally	9554	2	['ADV']
accidents	13436	2	['NOUN']
acclaim	10761	1	['NOUN']
acclaimed	10251	4	['VERB']
accommodate	8752	4	['VERB']
accommodation	11366	3	['NOUN']
accommodations	26167	2	['NOUN']
accompanied	5642	8	['VERB']
accompaniment	22205	1	['NOUN']
accompany	12673	1	['VERB']
accompanying	10860	4	['VERB']
accomplish	14570	3	['VERB']
accomplished	8885	3	['VERB', 'ADJ']
accomplishment	24718	1	['NOUN']
accomplishments	17571	3	['NOUN']
accord	15802	1	['NOUN']
accordance	10388	1	['NOUN']
according	2429	67	['VERB']
accordingly	11914	6	['ADV']
account	4070	10	['NOUN']
accountant	17907	1	['NOUN']
accounted	14729	2	['VERB']
accounts	6115	6	['NOUN', 'VERB']
accuracy	10640	2	['NOUN']
accurate	8321	8	['ADJ']
accurately	14125	2	['ADV']
accusations	13519	3	['NOUN']
accuse	26960	2	['VERB']
accused	5496	9	['VERB']
accusing	16723	1	['VERB']
achieve	6162	5	['VERB']
achieved	4719	7	['VERB']
achievement	6344	2	['NOUN']
achievements	10106	3	['NOUN']
achieving	10910	5	['VERB']
acid	5648	3	['ADJ']
acidic	24171	1	['ADJ']
acknowledged	8969	2	['VERB']
acknowledging	21894	1	['VERB']
acoustic	6490	4	['ADJ']
acquaintances	29409	1	['NOUN']
acquainted	19056	1	['VERB']
acquire	9878	3	['VERB']
acquired	3734	8	['VERB']
acquiring	13868	2	['VERB']
acquitted	18538	3	['VERB']
acre	7456	3	['NOUN']
acres	4631	8	['NOUN']
across	2408	71	['ADP']
act	2552	25	['PROPN', 'NOUN']
acted	6051	4	['VERB']
acting	3772	11	['VERB']
action	2895	53	['NOUN']
actions	4506	12	['NOUN']
activated	8878	1	['VERB']
active	3161	25	['ADJ']
actively	8851	1	['ADV']
activism	16841	2	['NOUN']
activist	7423	1	['NOUN']
activists	10134	1	['NOUN']
activities	3450	12	['NOUN']
activity	4023	18	['NOUN']
actors	5889	19	['NOUN', 'PROPN']
acts	4490	4	['NOUN']
actual	5025	6	['ADJ']
actually	2941	16	['ADV']
acute	11325	1	['ADJ']
ad	4748	14	['NOUN']
adapt	15581	4	['VERB']
adaptation	6789	1	['NOUN']
adaptations	17241	2	['NOUN']
adapted	5967	23	['VERB']
add	5587	7	['VERB']
added	2794	42	['VERB']
addiction	13449	1	['NOUN']
